"시도별",2022,2022
"시도별",평  균 (만원),초등학교 (만원)
"전 체",41.0,37.2
"서 울",59.6,53.6
"부 산",39.5,35.1
"대 구",43.7,40.4
"인 천",38.6,35.1
"광 주",35.6,31.0
"대 전",38.9,37.0
"울 산",36.7,35.4
"세 종",41.8,37.7
"경 기",44.6,40.1
"강 원",29.6,28.8
"충 북",31.8,30.0
"충 남",29.2,25.9
"전 북",29.6,26.6
"전 남",26.1,25.1
"경 북",29.4,28.4
"경 남",31.1,28.6
"제 주",31.4,28.5
