title,주소,Latitude,Longitude,지번
푸르넷공부방,경기 화성시 봉담읍 와우로34번길 11 아이파크 107동,37.2129664,126.9707928,(지번) 봉담읍 와우리 590
푸르넷공부방,경기 용인시 기흥구 기흥역로58번길 56 301동,37.272172,127.1217523,(지번) 구갈동 46-11
푸르넷공부방학원,경기 시흥시 군자로487번길 3,37.3468226,126.7842818,(지번) 거모동 1726-9
오정푸르넷공부방,경기 부천시 오정로252번길 66-15 에리트아파트 108호,37.5280938,126.7897223,(지번) 오정동 549
푸르넷공부방,서울 강동구 풍성로63길 31 101호,37.5296896,127.1390357,(지번) 둔촌동 494-4
푸르넷공부방,경기 용인시 수지구 심곡로 71,37.3095576,127.080487,(지번) 상현동 95-2
푸르넷공부방,경기 성남시 중원구 박석로85번길 28 2층,37.4385751,127.1627023,(지번) 상대원동 2492
푸르넷공부방,서울 강북구 인수봉로20가길 16,37.6258971,127.0131005,(지번) 미아동 791-3056
푸르넷공부방,경기 성남시 분당구 발이봉로11번길 1,37.3656084,127.1272504,(지번) 수내동 90-16
용호의꿈 푸르넷공부방,경기 군포시 용호2로 11 주공아파트 202동 202호,37.3434571,126.9409511,(지번) 당동 874
푸르넷공부방,인천 서구 승학로 567,37.5667077,126.6826228,(지번) 검암동 507-8
푸르넷 공부방,경기 용인시 기흥구 마북로 124-9 교동마을 현대홈타운 102동 602호,37.3009274,127.1230755,(지번) 마북동 630
푸르넷공부방 벨섬시티점,경기 수원시 권선구 호매실로218번길 22 호매실마을14단지 벨섬시티,37.262649,126.957276,(지번) 호매실동 1380
푸르넷공부방,경기 고양시 덕양구 세솔로 122-12,37.6546942,126.8859032,(지번) 삼송동 298-1
푸르넷,서울 마포구 만리재옛길 23 금성출판사,37.5462546,126.9554342,(지번) 공덕동 242-63
푸르넷공부방,경기 화성시 봉담읍 와우로34번길 11 아이파크 107동,37.2129664,126.9707928,(지번) 봉담읍 와우리 590
푸르넷공부방,경기 용인시 기흥구 기흥역로58번길 56 301동,37.272172,127.1217523,(지번) 구갈동 46-11
푸르넷공부방학원,경기 시흥시 군자로487번길 3,37.3468226,126.7842818,(지번) 거모동 1726-9
오정푸르넷공부방,경기 부천시 오정로252번길 66-15 에리트아파트 108호,37.5280938,126.7897223,(지번) 오정동 549
푸르넷공부방,서울 강동구 풍성로63길 31 101호,37.5296896,127.1390357,(지번) 둔촌동 494-4
푸르넷공부방,경기 용인시 수지구 심곡로 71,37.3095576,127.080487,(지번) 상현동 95-2
푸르넷 신쌤공부방,인천 서구 이음5로 15 3105동 604호,37.5131942,126.6434689,(지번) 원당동 1022
푸르넷공부방,경기 김포시 청송로 20 청송마을현대아파트 209동,37.6472754,126.6683584,(지번) 장기동 1342
푸르넷공부방,경기 평택시 고덕국제4길 84 302호,37.0530337,127.0472746,(지번) 고덕동 1939-11
푸르넷공부방,경기 평택시 고덕국제4길 84 302호,37.0530337,127.0472746,(지번) 고덕동 1939-11
푸르넷공부방,경기 이천시 어재연로 46,37.2801549,127.4463012,(지번) 창전동 165-2
푸르넷공부방 후곡마을6단지,경기 고양시 일산서구 일산로 612 605동,37.6817043,126.7611563,(지번) 일산동 1050
푸르넷 삼가 공부방,경기 용인시 처인구 중부대로1158번길 12,37.2381001,127.1724173,(지번) 삼가동 552
푸르넷공부방 경기광주지점,경기 광주시 문화로 121,37.4138652,127.2511715,(지번) 경안동 125-6
푸르넷공부방 장기점,경기 김포시 김포한강4로212번길 118,37.650746,126.6604649,(지번) 장기동 1877-2
푸르넷공부방,경기 평택시 안중읍 안중로 39,36.9851181,126.9247304,(지번) 안중읍 현화리 69-3
푸르넷공부방,경기 이천시 아리역로76번길 19,37.291577,127.4470713,(지번) 증포동 498
푸르넷공부방,경기 평택시 이충로 93-15 부영아파트 204동 107호,37.0619087,127.0676611,(지번) 이충동 593
손쌤의 푸르넷 공부방,경기 파주시 한빛로 11 316동 305호,37.7123805,126.7510778,(지번) 야당동 975
푸르넷공부방,경기 이천시 부발읍 경충대로2050번길 15-60,37.250813,127.4926228,(지번) 부발읍 아미리 678-11
푸르넷공부방 문촌마을1단지점,경기 고양시 일산서구 대산로 184 111동,37.6780315,126.7586208,(지번) 주엽동 1
푸르넷공부방,경기 평택시 평남로 660,36.9924888,127.107802,(지번) 비전동 217-18
우주 푸르넷 공부방,경기 화성시 향남읍 발안남로 66,37.1293313,126.9030431,(지번) 향남읍 발안리 305
푸르넷공부방,경기 평택시 동부공원로 34,36.9931685,127.117866,(지번) 비전동 883-6
푸르넷공부방,경기 평택시 고덕국제4길 84 302호,37.0530337,127.0472746,(지번) 고덕동 1939-11
푸르넷공부방,경기 이천시 어재연로 46,37.2801549,127.4463012,(지번) 창전동 165-2
푸르넷공부방 후곡마을6단지,경기 고양시 일산서구 일산로 612 605동,37.6817043,126.7611563,(지번) 일산동 1050
푸르넷공부방,경기 평택시 고덕국제4길 84 302호,37.0530337,127.0472746,(지번) 고덕동 1939-11
푸르넷공부방,경기 이천시 어재연로 46,37.2801549,127.4463012,(지번) 창전동 165-2
푸르넷공부방 후곡마을6단지,경기 고양시 일산서구 일산로 612 605동,37.6817043,126.7611563,(지번) 일산동 1050
푸르넷 박 쌤 공부방,경기 안성시 아양3로 56 101동 702호,37.0069026,127.2538877,(지번) 옥산동 557
푸르넷 중흥공부방,충남 당진시 송악읍 중흥2길 28,36.939099,126.7451061,(지번) 송악읍 중흥리 247-13
푸르넷공부방 청북부영3차점,경기 평택시 청북읍 청북남로 278 303동 103호,37.0194571,126.9135291,(지번) 청북읍 옥길리 1102
푸르넷공부방수학교습소,경기 여주시 현암3길 19,37.3089469,127.6406294,(지번) 현암동 191-75
푸르넷공부방 당진지점,충남 당진시 시청2로 8 현대빌딩 4층,36.8903317,126.6439924,(지번) 수청동 1025
금성푸르넷공부방,충남 천안시 서북구 충무로 130,36.7925459,127.1219772,(지번) 쌍용동 436-5
푸르넷공부방,충북 청주시 청원구 율봉로116번길 43,36.666109,127.4835526,(지번) 율량동 1860
푸르넷공부방,강원특별자치도 원주시 늘품로 37 2층,37.3229664,127.9502102,(지번) 단구동 1577-2
푸르넷공부방,충북 청주시 흥덕구 서현중로20번길 8,36.6203027,127.4305732,(지번) 가경동 2063
푸르넷공부방,충북 청주시 흥덕구 가경로173번길 26,36.6302247,127.4348504,(지번) 가경동 778
푸르넷공부방,강원특별자치도 춘천시 세실로192번길 12-8,37.8741928,127.7593094,(지번) 후평동 881-3
푸르넷공부방,충북 청주시 상당구 용암북로4번길 68,36.6120311,127.5015805,(지번) 용암동 1397
푸르넷공부방 공도아카데미,경기 안성시 공도읍 공도1로 18 203호,37.0005177,127.1688295,(지번) 공도읍 만정리 813-1
최진성 푸르넷 공부방,경기 안성시 공도읍 공도로 142,36.9998459,127.1755401,(지번) 공도읍 만정리 880
푸르넷공부방,대전 대덕구 대덕대로1470번길 55,36.4467766,127.4137098,(지번) 목상동 185-2
푸르넷공부방,대전 유성구 엑스포로 475,36.3987186,127.404562,(지번) 전민동 325-10
푸르넷공부방,대전 대덕구 대덕대로1470번길 55,36.4467766,127.4137098,(지번) 목상동 185-2
푸르넷공부방,대전 유성구 엑스포로 475,36.3987186,127.404562,(지번) 전민동 325-10
푸르넷공부방,충북 제천시 내토로43안길 2,37.1293669,128.2141171,(지번) 화산동 618
푸르넷공부방,대전 대덕구 동춘당로 178,36.3690523,127.4310904,(지번) 법동 191-1
푸르넷공부방,충북 제천시 남산로 71-1,37.1328032,128.2127155,(지번) 화산동 168-3
푸르넷공부방,대전 동구 태전로104번길 51,36.3396636,127.4229534,(지번) 삼성동 318-2
푸르넷공부방,대전 서구 도안북로 125,36.331014,127.343172,(지번) 도안동 965
푸르넷공부방,대전 유성구 유성대로 1741,36.3618968,127.353097,(지번) 전민동 462-5
푸르넷 예산한신공부방,충남 예산군 예산읍 역전로160번길 16,36.6929736,126.8320271,(지번) 예산읍 산성리 710
푸르넷공부방,대전 중구 수도산로47번길 76,36.3233175,127.4267294,(지번) 대흥동 445-12
푸르넷공부방,대전 중구 목중로 69,36.3387136,127.4065416,(지번) 중촌동 283
푸르넷공부방,충남 보령시 보령남로 49-20,36.3407112,126.6016061,(지번) 명천동 528-1
푸르넷범지기공부방,세종특별자치시 달빛로 165 805동 3층,36.5137348,127.2492976,(지번) 아름동 1279
푸르넷온맘공부방,충북 청주시 서원구 창신로 17 202호,36.6324737,127.4642725,(지번) 사창동 287-14
정쌤의푸르넷공부방,충북 충주시 호암토성5길 10-1,36.9536045,127.929115,(지번) 호암동 1081
푸르넷공부방,대전 대덕구 대덕대로1470번길 55,36.4467766,127.4137098,(지번) 목상동 185-2
푸르넷공부방,대전 유성구 엑스포로 475,36.3987186,127.404562,(지번) 전민동 325-10
푸르넷공부방,충북 제천시 내토로43안길 2,37.1293669,128.2141171,(지번) 화산동 618
푸르넷공부방,대전 대덕구 동춘당로 178,36.3690523,127.4310904,(지번) 법동 191-1
푸르넷공부방,충북 제천시 남산로 71-1,37.1328032,128.2127155,(지번) 화산동 168-3
푸르넷공부방,대전 동구 태전로104번길 51,36.3396636,127.4229534,(지번) 삼성동 318-2
푸르넷공부방,대전 서구 도안북로 125,36.331014,127.343172,(지번) 도안동 965
푸르넷공부방,대전 유성구 유성대로 1741,36.3618968,127.353097,(지번) 전민동 462-5
푸르넷 예산한신공부방,충남 예산군 예산읍 역전로160번길 16,36.6929736,126.8320271,(지번) 예산읍 산성리 710
푸르넷공부방,대전 중구 수도산로47번길 76,36.3233175,127.4267294,(지번) 대흥동 445-12
푸르넷공부방,대전 중구 목중로 69,36.3387136,127.4065416,(지번) 중촌동 283
푸르넷공부방,충남 보령시 보령남로 49-20,36.3407112,126.6016061,(지번) 명천동 528-1
푸르넷범지기공부방,세종특별자치시 달빛로 165 805동 3층,36.5137348,127.2492976,(지번) 아름동 1279
푸르넷온맘공부방,충북 청주시 서원구 창신로 17 202호,36.6324737,127.4642725,(지번) 사창동 287-14
정쌤의푸르넷공부방,충북 충주시 호암토성5길 10-1,36.9536045,127.929115,(지번) 호암동 1081
푸르넷공부방,대전 대덕구 대덕대로1470번길 55,36.4467766,127.4137098,(지번) 목상동 185-2
푸르넷공부방,대전 유성구 엑스포로 475,36.3987186,127.404562,(지번) 전민동 325-10
푸르넷공부방,충북 제천시 내토로43안길 2,37.1293669,128.2141171,(지번) 화산동 618
푸르넷공부방,충북 청주시 서원구 경신로 68 201동 102호,36.620993,127.4493921,(지번) 개신동 635
푸르넷 우리공부방,대전 서구 문정로 112,36.3464781,127.3917803,(지번) 탄방동 836
푸르넷이쌤공부방,대전 서구 관저로 84,36.2975378,127.331567,(지번) 관저동 1148
푸르넷상아공부방,대전 중구 계백로1686번길 51,36.3184008,127.4081718,(지번) 문화동 1-48
