"행정구역별",2017,2018,2019,2020,2021,2022
"계양구",44595,41810,39517,37583,36418,34555
"서구",72785,73026,72394,71426,70904,74297
"미추홀구",-,-,77064,75087,73947,72511
"강화군",6516,6866,6443,6391,6243,6133
"옹진군",1309,1311,1227,1140,1098,1119
"광주광역시",331665,323605,313463,306891,298918,291331
"동구",46686,45234,44092,43633,42168,41068
"서구",38521,37195,35674,34221,32990,31728
"남구",54390,52325,49996,48850,48142,47231
"북구",99384,97870,95151,92604,90032,87880
"광산구",92684,90981,88550,87583,85586,83424
"대전광역시",351283,340763,330007,319647,309217,300656
"동구",69034,67202,65410,63337,60920,58152
"중구",37214,35094,33239,31608,29695,28483
"서구",100064,97026,93927,92115,89771,87856
"유성구",105959,103614,100781,98334,95416,93053
"대덕구",39012,37827,36650,34253,33415,33112
"울산광역시",193894,188030,182827,179547,177250,173881
"중구",28681,27473,26183,24950,24497,23734
"남구",64498,60967,58111,56494,55400,54029
"동구",31520,30916,30233,30128,29937,29415
"북구",31566,31857,32370,33397,33779,34119
"울주군",37629,36817,35930,34578,33637,32584
"세종특별자치시",65937,73067,77844,81449,83743,86198
"경기도",2170261,2137485,2101116,2077809,2066127,2044200
"수원시",210232,205724,199608,194843,190772,186118
"성남시",166326,161959,156409,152569,150295,148143
"의정부시",69585,67316,65782,63850,63445,62704
"안양시",111843,106748,101670,98896,96739,94765
"부천시",131458,127681,122846,118729,115256,112297
"광명시",43890,41964,39772,37641,35771,34514
"평택시",80807,79838,79222,79728,81277,82529
"동두천시",14083,13496,12869,12399,11955,11491
"안산시",124497,117647,111902,107872,104989,101910
"고양시",143044,138066,132489,130656,129876,127095
"과천시",8497,7632,7191,7079,7939,8823
"구리시",23931,23346,22302,21360,20697,19763
"남양주시",102042,101332,101095,100989,102218,102731
"오산시",52182,51763,50934,50592,49954,48378
"시흥시",76475,77389,79433,80948,83920,84641
"군포시",40367,38455,36296,35073,33602,32222
"의왕시",21298,20496,19967,19649,19344,19150
"하남시",24825,27491,29746,31464,34118,38800
"용인시",199692,197824,195491,194263,191252,187739
"파주시",64932,64504,64584,63773,64568,65364
