"행정구역(시군구)별(1)",행정구역(시군구)별(2),2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"경기",연천군,12952,386623,13127,406413,13959,433135,14289,449993,14218,474941
"경기",오산시,87693,2893828,93031,3169262,98384,3407873,100168,3553016,104018,3863124
"경기",용인시,380135,16539462,402982,18031827,422411,19243442,432868,20337175,441437,22290185
"경기",의왕시,58695,2216488,63107,2485552,67117,2742592,68389,2850366,68943,3020324
"경기",의정부시,148147,4157464,156515,4578220,164586,4981198,169990,5260547,176307,5650359
"경기",이천시,81272,2879176,85396,3335778,90337,3696189,94320,3689304,96645,4097216
"경기",파주시,169230,5586039,175196,6033820,181781,6263100,190174,6609753,201130,7367551
"경기",평택시,186182,6356196,198102,7020414,211984,7667941,231232,8417082,246416,9482896
"경기",포천시,57172,1438393,58189,1542114,59835,1660586,61698,1754127,61458,1828552
"경기",하남시,91721,3348151,104862,3955036,117413,4527216,129963,5310459,137013,5997639
"경기",화성시,320571,13424608,355466,15449838,382446,16510895,401794,18233860,419662,20573468
"강원",소계,469971,14981942,486840,16065127,504341,17144070,518644,17934636,537251,19034513
"강원",강릉시,63999,1986223,67392,2162889,69500,2295783,71391,2425463,73049,2550624
"강원",고성군,7810,224500,7838,232345,7632,238074,8118,257399,8657,279497
"강원",동해시,27245,925233,28035,987052,28990,1050923,29672,1092166,30836,1153270
"강원",삼척시,19358,638838,19678,669945,19514,688283,19399,700592,20104,735097
"강원",속초시,24361,716837,25661,782751,26893,849218,27811,891453,29130,955404
"강원",양구군,7066,235992,7193,246770,6976,248689,7187,253425,7211,258953
"강원",양양군,6970,200665,7261,222268,7591,241292,7911,250832,7927,262555
"강원",영월군,10315,332504,10443,347151,10545,366953,10614,374101,11102,392250
"강원",원주시,114751,3725573,120663,4048966,126864,4380867,131668,4617536,138028,4994239
"강원",인제군,9950,332212,10042,348723,10535,371500,11225,401452,11567,426760
"강원",정선군,10551,325107,10837,339299,10894,360452,10747,354902,10877,371820
"강원",철원군,13270,418227,13281,434203,13298,450611,13221,458494,13253,472192
"강원",춘천시,91628,2997277,94946,3225268,99263,3468477,103358,3676298,108423,3927576
"강원",태백시,14190,487246,14187,502432,14158,514446,14090,509222,13956,513649
"강원",평창군,10356,296735,10991,322335,11146,336183,10939,343227,11285,367531
"강원",홍천군,18077,537900,18262,567410,19527,616392,19941,637117,20305,655654
"강원",화천군,8315,272125,8068,275497,8608,294009,8536,297547,8320,299384
"강원",횡성군,11759,328745,12062,349823,12407,371919,12816,393410,13221,418057
"대전",소계,513492,18001852,527312,18965215,543143,19967252,551733,20606066,565566,21823496
"대전",대덕구,63060,1856372,63656,1924661,64126,2008626,65908,2097873,67644,2236633
"대전",동구,70391,1938560,73368,2098661,73886,2187221,76205,2321105,77410,2436802
"대전",서구,170449,5876253,175343,6211535,181012,6544804,182982,6720671,187195,7080401
"대전",유성구,131984,5953730,136053,6231575,143730,6603505,145761,6782051,151086,7235280
"대전",중구,77608,2376938,78892,2498782,80389,2623096,80877,2684366,82231,2834380
"충북",소계,554127,18153871,576365,19767930,598668,21245307,611921,21990307,626787,23547939
"충북",괴산군,9566,271894,9802,291662,10145,302544,10209,311463,10048,329788
"충북",단양군,7881,235306,7938,241878,8151,253589,8127,257085,8095,265820
"충북",보은군,7889,229385,8371,243539,8766,256171,8109,257613,8468,274839
"충북",영동군,12267,353206,12299,367873,12352,382836,12134,383020,12251,397576
"충북",옥천군,14176,394699,14352,421590,14796,447095,14860,459619,15044,483968
"충북",음성군,39804,1122035,40809,1207414,41551,1277337,41090,1313447,41535,1392531
"충북",제천시,39824,1228746,41359,1313201,42278,1398072,42842,1437308,43854,1517545
"충북",증평군,13522,415890,13746,445152,14332,470351,14476,483791,15090,523448
"충북",진천군,33260,991590,36095,1141878,38125,1248511,39777,1344424,40562,1442732
"충북",청주시,308558,10836096,321706,11848642,335500,12794089,345730,13224584,355822,14227104
"충북",충주시,67380,2075025,69888,2245101,72672,2414711,74567,2517951,76018,2692588
"충남",소계,708845,24891625,732837,26478590,755799,27671440,773718,28969866,790752,31414572
"충남",계룡시,14671,642704,14739,666697,15329,693988,16072,723931,16880,773302
"충남",공주시,30857,945336,31715,988342,32319,1032997,33089,1060284,33230,1106228
"충남",금산군,12279,348679,12679,371358,12988,393318,13103,408289,13265,424102
"충남",논산시,32557,917603,33360,990029,34018,1034538,34385,1070466,34721,1121316
"충남",당진시,57959,2048715,59565,2258880,61268,2306354,62375,2362939,63928,2597364
"충남",보령시,28942,890902,29342,949815,31056,1011389,31258,1043664,31071,1074377
"충남",부여군,15891,440734,16195,457363,16198,475413,16463,491410,15853,505384
"충남",서산시,56097,2223965,58470,2392346,60931,2499509,62732,2579300,64293,2813720
"충남",서천군,12221,369742,12063,385553,12387,402271,12808,413858,12937,425606
