행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
서울특별시,강남구,70.28894764569645,69.64277321935393,71.19778395730087,74.68770888542294,81.05320638866216,83.91108
서울특별시,강동구,36.32165416440628,38.07181327459334,40.51055577616641,41.59616503262789,44.19186797167847,47.61772
서울특별시,강북구,27.069900212501345,28.17968681993597,29.282999285884312,29.52803334567655,31.041122771094617,33.02636
서울특별시,강서구,34.82447579107892,36.32378482244471,37.38915660196746,37.46523522744233,39.47847430228688,42.036835
서울특별시,관악구,29.703509070985024,30.757579616632707,31.568163948446543,32.07181719761362,33.653263621452005,35.855225
서울특별시,광진구,35.48217946696105,36.811163071141614,37.73487423521414,38.478332786526686,40.77249265729375,43.268932
서울특별시,구로구,32.49798148148148,33.656606895559435,34.75667906170167,35.411384699625444,37.383094641502495,38.451004
서울특별시,금천구,27.741562568485644,29.06608452598617,30.05680554713243,30.82192229769992,32.51171024226433,35.11759
서울특별시,노원구,35.55719245715742,36.68958099909096,37.68180582280599,38.42451786608783,40.07337451737452,42.451653
서울특별시,도봉구,30.299622350012875,31.141831739670785,31.97343627653215,32.416353757872166,33.944232348285404,35.85194
서울특별시,동대문구,32.13081770621008,33.67021074144251,34.81792103812256,35.69903382408935,37.88471206933777,40.088734
서울특별시,동작구,38.328692035065664,39.73826407469082,40.7967567302746,41.785433370933816,44.18890042855949,47.216774
서울특별시,마포구,42.74963229837132,44.785412915182505,46.733905936757424,48.00897934371002,51.24992852259307,55.900776
서울특별시,서대문구,37.50774512935165,39.4713690357573,41.13915082654864,42.16992277357871,44.647890374910745,47.22348
서울특별시,서초구,68.56379395680675,69.01397671144623,71.17758331803837,74.40640322186675,80.51074643605561,85.7126
서울특별시,성동구,42.41050213776313,44.48689013704017,46.16373851475976,48.16890133055672,52.49813950341655,58.089157
서울특별시,성북구,37.51323950299024,38.46149232878157,39.34693445410504,40.51139184256467,42.202896944167314,44.72328
서울특별시,송파구,46.75521435420844,48.93341237195382,50.59158421131366,52.085112381604965,55.70366358426313,60.372654
서울특별시,양천구,42.799615481852975,44.404440316916734,45.77204254568425,46.83469488272559,49.391499910265615,53.01484
서울특별시,영등포구,39.95788975027047,41.63907768492727,43.27833610220652,44.46545698390057,47.45027800413541,51.448624
서울특별시,용산구,57.26458900538724,58.84634964062658,62.70432591348173,64.92377841873092,69.79533512618949,75.40115
서울특별시,은평구,31.5334867770459,33.076407137109705,34.486272399095334,35.07205193126111,36.91516096679847,39.37576
서울특별시,종로구,46.59187391097735,47.6273250836641,48.70477708819678,49.05173893574148,52.23302934470839,55.396114
