강원특별자치도,영월군,4944,4597,4567,4313,4158,4078
강원특별자치도,평창군,3917,3721,3434,3151,3046,2923
강원특별자치도,정선군,3576,3418,3208,2998,2889,2745
강원특별자치도,철원군,5342,5039,4719,4480,4303,4113
강원특별자치도,화천군,2566,2419,2313,2229,2129,2123
강원특별자치도,양구군,2727,2629,2560,2457,2372,2326
강원특별자치도,인제군,3389,3178,3051,2860,2825,2826
강원특별자치도,고성군,6993,5964,4855,3799,2949,2712
강원특별자치도,양양군,2272,2157,2098,2034,2043,1940
충청북도,충주시,49123,47886,46418,45711,44957,44210
충청북도,제천시,31041,30035,28989,28120,26752,25532
충청북도,청주시,179159,173433,168478,165608,163445,161150
충청북도,보은군,3024,2880,2783,2595,2520,2439
충청북도,옥천군,6751,6445,6127,5783,5588,5395
충청북도,영동군,10260,9863,9330,8956,8489,8268
충청북도,진천군,8881,9489,10369,10529,10883,11052
충청북도,괴산군,7763,7934,7784,7652,7273,6861
충청북도,음성군,22074,21352,20072,19389,18034,16964
충청북도,단양군,2498,2420,2321,2185,2084,1973
충청북도,증평군,4810,4548,4375,4318,4231,4200
충청남도,천안시,171234,169562,167238,164241,161507,159421
충청남도,공주시,33092,31777,30799,29965,29090,28162
충청남도,보령시,13422,13164,12529,12019,11568,10430
충청남도,아산시,90894,90480,90280,90659,90679,91883
충청남도,서산시,32044,31421,30807,30457,30492,30197
충청남도,논산시,21320,19966,19055,18149,17425,16558
충청남도,계룡시,7514,7421,7182,6907,6821,6672
충청남도,당진시,26727,26418,26209,25616,25167,24663
충청남도,금산군,17584,17159,16746,16602,16169,15381
충청남도,부여군,7057,6672,6416,6120,5833,5500
충청남도,서천군,4923,4663,4321,4145,4051,3926
충청남도,청양군,4311,4145,3905,3731,3679,3577
충청남도,홍성군,26377,25814,25048,24405,23471,22691
충청남도,예산군,8067,7727,7551,7458,7454,7323
충청남도,태안군,5756,5580,5332,5115,4940,4709
전라북도,전주시,150816,147625,144153,142108,140552,137723
전라북도,군산시,60631,58795,56419,54587,52817,51564
전라북도,익산시,70161,68411,65348,63228,60702,57255
전라북도,정읍시,15565,14829,14164,13619,13112,12624
전라북도,남원시,10782,9264,8679,8243,7973,7686
